time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-16T00:12:10.420Z,51.8666,178.4103,143.38,2.7,ml,,316,0.74,0.32,us,us1000gh2z,2023-08-16T14:53:28.474Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,30.6,31.8,,,reviewed,us,ak
2018-08-16T00:06:01.873Z,51.2216,178.602,5.7,2.4,ml,,,,0.62,ak,ak018ah2kf17,2023-08-16T14:53:16.214Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2018-08-15T23:56:37.580Z,51.2602,-178.024,31.56,3,ml,,209,0.574,0.33,us,us2000hawq,2023-08-16T14:53:06.602Z,"118 km SW of Adak, Alaska",earthquake,3.2,14.1,,,reviewed,us,ak
2018-08-15T23:52:05.840Z,51.1992,-177.8711,29.92,3.8,mb,,212,0.617,0.63,us,us2000hawp,2023-08-16T14:52:57.887Z,"114 km SW of Adak, Alaska",earthquake,4.2,12.8,0.146,12,reviewed,us,us
2018-08-15T23:47:28.177Z,51.4508,-175.7559,18.8,2.4,ml,,,,0.58,ak,ak018afsyvu9,2023-08-16T14:52:44.331Z,"76 km SE of Adak, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-08-15T23:26:22.260Z,51.186,-177.7733,27.6,2.1,ml,,,,0.44,ak,ak018afsudci,2023-08-16T14:52:13.736Z,"110 km SW of Adak, Alaska",earthquake,,17.1,,,reviewed,ak,ak
2018-08-15T23:11:46.274Z,51.2145,-177.8497,45.1,2.3,ml,,,,0.39,ak,ak018afsr7gj,2023-08-16T14:52:05.509Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,3.3,,,reviewed,ak,ak
2018-08-15T22:47:15.240Z,51.1937,-177.8429,51.4,2.1,ml,,,,0.42,ak,ak018afsdf8k,2023-08-16T14:51:36.354Z,"112 km SW of Adak, Alaska",earthquake,,2.6,,,reviewed,ak,ak
2018-08-15T22:44:22.050Z,51.1992,-177.6438,35,2.6,ml,,228,0.617,0.34,us,us2000haw8,2023-08-16T14:51:32.472Z,"102 km SW of Adak, Alaska",earthquake,4.9,2,,,reviewed,us,ak
2018-08-15T22:42:17.840Z,51.2273,-177.9053,38.4,2.2,ml,,,,0.32,ak,ak018afsccuw,2023-08-16T14:51:30.515Z,"113 km SW of Adak, Alaska",earthquake,,1.1,,,reviewed,ak,ak
